product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
2,2950,2017/02/25,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245
3,3120,2017/05/21,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41701
37,402,2017/10/16,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361
88,3135,2017/08/31,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,36145
78,787,2017/10/01,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,42226
25,2339,2017/03/08,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,39031
22,1542,2017/04/21,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,34165
15,2459,2017/07/15,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
67,1305,2017/08/10,FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74,33455
12,3262,2017/08/30,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38216
5,1986,2017/01/17,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,40784
61,2783,2017/01/05,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172
35,1243,2017/02/26,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,34527
16,2717,2017/09/10,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,$1 479.11,34586
12,247,2017/06/11,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193
3,2961,2017/10/10,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,37873
79,2426,2017/04/03,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,38206
33,1842,2017/06/02,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,$1 167.18,33888
54,2268,2017/04/06,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
25,3002,2017/01/28,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,37337
27,1582,2017/10/09,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334
37,595,2017/06/29,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361
37,2001,2017/04/08,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,42145
82,515,2017/10/18,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42404
89,2822,2017/06/11,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,34079
64,2596,2017/01/10,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,42145
64,2666,2017/04/11,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,41047
19,76,2017/12/23,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,42560
72,3368,2017/10/13,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,42710
91,1173,2017/03/15,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,41922
88,2810,2017/09/05,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,37539
1,3214,2017/02/18,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
25,1272,2017/03/20,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42404
99,2003,2017/02/28,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,$1 531.42,38991
0,2171,2017/08/20,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647
92,3356,2017/07/07,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,$1 259.36,37874
14,1040,2017/01/09,FALSE,Approved,Solex,Standard,high,large,1842.92,$1 105.75,34996
2,2916,2017/12/06,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,33549
12,427,2017/09/12,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38693
0,2448,2017/11/28,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647
44,2570,2017/05/08,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,37668
79,3398,2017/05/14,FALSE,Approved,Solex,Touring,medium,large,2083.94,$675.03,41533
76,488,2017/03/17,FALSE,Cancelled,WeareA2B,Standard,low,medium,642.31,$513.85,41922
46,165,2017/12/22,FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51,37668
55,2787,2017/06/07,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,42172
66,3053,2017/06/20,FALSE,Approved,Solex,Standard,medium,medium,1163.89,$589.27,42560
35,475,2017/05/07,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,34527
81,1305,2017/06/10,TRUE,Approved,Solex,Standard,medium,medium,1151.96,$649.49,41009
86,1251,2017/06/17,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,38206
32,3103,2017/05/10,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,37337
77,3108,2017/03/24,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,40553
96,857,2017/11/27,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,39427
6,3455,2017/12/21,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,33549
27,2549,2017/02/09,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,34527
0,3140,2017/09/18,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482
47,3406,2017/11/14,FALSE,Approved,Trek Bicycles,Road,low,small,1720.7,$1 531.42,35470
94,2294,2017/08/30,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,41434
91,1031,2017/11/14,FALSE,Approved,Solex,Standard,medium,medium,100.35,$75.26,36367
93,993,2017/02/15,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,38750
60,3473,2017/12/18,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,$1 759.85,41848
0,1839,2017/02/24,FALSE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,34244
33,1824,2017/12/18,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,$1 167.18,33888
35,368,2017/12/17,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
0,2000,2017/07/08,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,39031
28,825,2017/05/16,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,$1 082.36,42696
86,3315,2017/02/23,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,36367
2,75,2017/07/03,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245
4,1498,2017/09/30,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,38258
38,1612,2017/10/21,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41167
27,2192,2017/05/06,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334
54,419,2017/01/03,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
77,3307,2017/05/09,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672
22,2430,2017/07/23,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,34165
56,1506,2017/01/21,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,35707
58,1346,2017/06/20,FALSE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,42295
22,927,2017/03/10,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,33552
50,763,2017/06/02,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,37668
80,2397,2017/11/07,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,36145
87,102,2017/09/12,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,35667
15,2884,2017/12/16,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,38693
84,759,2017/10/07,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879
21,773,2017/04/27,TRUE,Approved,Solex,Standard,medium,large,1071.23,$380.74,40670
0,3398,2017/04/01,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,37626
33,3297,2017/11/02,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,$1 167.18,33888
84,2434,2017/02/13,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,38339
